short-name,common-name
BM Wheeler,Ben Wheeler
Tamim Iqbal,Tamim Iqbal
Imrul Kayes,Imrul Kayes
MJ Henry,Matt Henry
Sabbir Rahman,Sabbir Rahman
Shakib Al Hasan,Shakib Al Hasan
LH Ferguson,Lockie Ferguson
Soumya Sarkar,Soumya Sarkar
Mahmudullah,Mohammad Mahmudullah
C de Grandhomme,Colin de Grandhomme
MJ Santner,Mitchell Santner
Mosaddek Hossain,Mosaddek Hossain
Mashrafe Mortaza,Mashrafe Mortaza
Nurul Hasan,Nurul Hasan
Rubel Hossain,Rubel Hossain
NT Broom,Neil Broom
KS Williamson,Kane Williamson
C Munro,Colin Munro
Mustafizur Rahman,Mustafizur Rahman
CJ Anderson,Corey Anderson
TC Bruce,Tom Bruce
L Ronchi,Luke Ronchi
JDS Neesham,James Neesham
TA Boult,Trent Boult
IS Sodhi,Ish Sodhi
Taskin Ahmed,Taskin Ahmed
HM Amla,Hashim Amla
Q de Kock,Quinton de Kock
F du Plessis,Faf du Plessis
TG Southee,Tim Southee
AB de Villiers,AB de Villiers
JP Duminy,Jean-Paul Duminy
F Behardien,Farhaan Behardien
CH Morris,Chris Morris
WD Parnell,Wayne Parnell
GD Phillips,Glenn Phillips
D Paterson,Dane Paterson
AL Phehlukwayo,Andile Phehlukwayo
Imran Tahir,Imran Tahir
DJ Willey,David Willey
JT Smuts,JJ Smuts
RR Hendricks,Reeza Hendricks
MA Wood,Mark Wood
DA Miller,David Miller
CJ Jordan,Chris Jordan
LA Dawson,Liam Dawson
MS Crane,Mason Crane
JJ Roy,Jason Roy
AD Hales,Alex Hales
JM Bairstow,Jonny Bairstow
T Shamsi,Tabraiz Shamsi
D Pretorius,Dwaine Pretorius
TK Curran,Tom Curran
M Mosehle,Mangaliso Mosehle
LE Plunkett,Liam Plunkett
M Morkel,Morne Morkel
SW Billings,Sam Billings
LS Livingstone,Liam Livingstone
JC Buttler,Jos Buttler
EJG Morgan,Eoin Morgan
DJ Malan,Dawid Malan
CH Gayle,Chris Gayle
E Lewis,Evin Lewis
JE Root,Joe Root
MN Samuels,Marlon Samuels
AU Rashid,Adil Rashid
CAK Walton,Chadwick Walton
KA Pollard,Kieron Pollard
R Powell,Rovman Powell
CR Brathwaite,Carlos Brathwaite
SP Narine,Sunil Narine
AR Nurse,Ashley Nurse
JE Taylor,Jerome Taylor
KOK Williams,Kesrick Williams
TS Mills,Tymal Mills
V Kohli,Virat Kohli
KL Rahul,Lokesh Rahul
SK Raina,Suresh Raina
BA Stokes,Ben Stokes
MM Ali,Moeen Ali
Yuvraj Singh,Yuvraj Singh
MS Dhoni,Mahendra Singh Dhoni
MK Pandey,Manish Pandey
HH Pandya,Hardik Pandya
Parvez Rasool,Parvez Rasool
JJ Bumrah,Jasprit Bumrah
A Nehra,Ashish Nehra
YS Chahal,Yuzvendra Chahal
A Mishra,Amit Mishra
RR Pant,Rishabh Pant
Mohammed Shami,Mohammed Shami
J Charles,Johnson Charles
B Kumar,Bhuvneshwar Kumar
R Ashwin,Ravichandran Ashwin
RA Jadeja,Ravindra Jadeja
