Statistics_Name,Auction_Name
Washington Sundar,Washington Sundar
Harbhajan Singh,Harbhajan Singh
Mustafizur Rahman,Mustafizur Rahman
Yuvraj Singh,Yuvraj Singh
Navdeep Saini,Navdeep Saini
Kuldeep Yadav,Kuldeep Yadav
Avesh Khan,Avesh Khan
Arshdeep Singh,Arshdeep Singh
Mohammed Siraj,Mohammed Siraj
Imran Tahir,Imran Tahir
Ravi Bishnoi,Ravi Bishnoi
T Natarajan,T Natarajan
Shakib Al Hasan,Shakib Al Hasan
Ishan Kishan,Ishan Kishan
KL Rahul,KL Rahul
MK Pandey,Manish Pandey
M Jansen,Marco Jansen
JDS Neesham,James Neesham
CR Brathwaite,Carlos Brathwaite
TL Seifert,Tim Seifert
Mahedi Hasan,Syed Mehdi Hasan
J Botha,Johan Botha
GJ Maxwell,Glenn Maxwell
JP Faulkner,James Faulkner
A Khan,Avesh Khan
MK Tiwary,Manoj Tiwary
BB McCullum,Brendon McCullum
S Dhawan,Shikhar Dhawan
A Nortje,Anrich Nortje
B Stanlake,Billy Stanlake
CR Woakes,Chris Woakes
BR Dunk,Ben Dunk
Joginder Sharma,Joginder Sharma
R Sharma,Rohit Sharma
S Badree,Samuel Badree
JP Behrendorff,Jason Behrendorff
R Powell,Rovman Powell
AT Carey,Alex Carey
AT Rayudu,Ambati Rayudu
KS Williamson,Kane Williamson
DP Nannes,Dirk Nannes
BJ Hodge,Brad Hodge
SA Abbott,Sean Abbott
DO Christian,Daniel Christian
CJ Jordan,Chris Jordan
A Mishra,Amit Mishra
HF Gurney,Harry Gurney
JO Holder,Jason Holder
SM Boland,Scott Boland
TH David,Tim David
D Wiese,David Wiese
JA Richardson,Jhye Richardson
KW Richardson,Kane Richardson
UT Yadav,Umesh Yadav
TK Curran,Tom Curran
A Nehra,Ashish Nehra
JP Duminy,Jean-Paul Duminy
KH Pandya,Krunal Pandya
AD Hales,Alex Hales
K Santokie,Krismar Santokie
E Lewis,Evin Lewis
KV Sharma,Karan Sharma
KV Sharma,Karn Sharma
SE Rutherford,Sherfane Rutherford
J Theron,Juan Theron
KM Jadhav,Kedar Jadhav
GD Phillips,Glenn Phillips
O Thomas,Oshane Thomas
AJ Finch,Aaron Finch
PP Chawla,Piyush Chawla
DL Chahar,Deepak Chahar
NJ Maddinson,Nic Maddinson
GB Hogg,Brad Hogg
BE Hendricks,Beuran Hendricks
CA Ingram,Colin Ingram
RD Chahar,Rahul Chahar
SR Watson,Shane Watson
JA Morkel,Albie Morkel
LRPL Taylor,Ross Taylor
RP Singh,Rinku Singh
R McLaren,Ryan McLaren
DA Miller,David Miller
AJ Turner,Ashton Turner
WD Parnell,Wayne Parnell
AB Dinda,Ashok Dinda
F Behardien,Farhaan Behardien
KP Pietersen,Kevin Pietersen
RP Meredith,Riley Meredith
C Green,Chris Green
IK Pathan,Irfan Pathan
PSP Handscomb,Peter Handscomb
JL Denly,Joe Denly
C de Grandhomme,Colin De Grandhomme
JM Bairstow,Jonny Bairstow
JC Buttler,Jos Buttler
B Laughlin,Ben Laughlin
M Kartik,Murali Kartik
DJ Malan,Dawid Malan
EJG Morgan,Eoin Morgan
DW Steyn,Dale Steyn
PJ Cummins,Pat Cummins
OF Smith,Odean Smith
NM Coulter-Nile,Nathan Coulter-Nile
MM Patel,Munaf Patel
SS Cottrell,Sheldon Cottrell
MP Stoinis,Marcus Stoinis
FH Edwards,Fidel Edwards
SR Patel,Ripal Patel
JR Hazlewood,Josh Hazlewood
CJ Anderson,Corey Anderson
JR Philippe,Joshua Philippe
T Banton,Tom Banton
JC Archer,Jofra Archer
MC Henriques,Moises Henriques
SR Tendulkar,Arjun Tendulkar
TA Boult,Trent Boult
K Rabada,Kagiso Rabada
LS Livingstone,Liam Livingstone
SE Marsh,Shaun Marsh
KJ Abbott,Kyle Abbott
SW Billings,Sam Billings
RV Uthappa,Robin Uthappa
YK Pathan,Yusuf Pathan
S Dube,Shivam Dube
C Munro,Colin Munro
R Vinay Kumar,Ranganath Vinay Kumar
SO Hetmyer,Shimron Hetmyer
MJ Henry,Matt Henry
TG Southee,Tim Southee
DP Conway,Devon Conway
V Shankar,Vijay Shankar
AF Milne,Adam Milne
H Klaasen,Heinrich Klaasen
MJ Guptill,Martin Guptill
DA Warner,David Warner
AD Russell,Andre Russell
MM Sharma,Mohit Sharma
DR Smith,R Samarth
Parvez Rasool,Parveez Rasool
BCJ Cutting,Ben Cutting
AY Patel,Ansh Patel
KA Pollard,Kieron Pollard
Mohammed Shami,Mohammad Shami
KD Karthik,Dinesh Karthik
KR Mayers,Kyle Mayers
RD Gaikwad,Ruturaj Gaikwad
KA Jamieson,Kyle Jamieson
NL McCullum,Nathan McCullum
R Ashwin,M. Ashwin
CA Lynn,Chris Lynn
JD Unadkat,Jaydev Unadkat
AK Markram,Aiden Markram
FH Allen,Finn Allen
D Pretorius,Dwaine Pretorius
BW Hilfenhaus,Ben Hilfenhaus
N Pooran,Nicolas Pooran
DJ Mitchell,Mitchell Johnson
I Sharma,Ishant Sharma
JD Ryder,Jesse Ryder
DJ Willey,David Willey
SM Curran,Sam Curran
KH Pandya,Hardik Pandya
LH Ferguson,Lockie Ferguson
Mohammad Naim,Mohammad Nabi
MA Wood,Mark Wood
