,city_id,city_name,country_code,lat,lon,sources,state_code,station_id,timezone,venue,date,clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
0,2186313,Napier,NZ,-39.5021393,176.9117513,"['933730-99999', 'imerg', 'era5', 'sat', 'radar', 'snodas']",F2,933730-99999,Pacific/Auckland,McLean Park,2017-01-03,80.0,2017-01-03,14.0,61,482,383,132,987,1067,25.0,1483419600,3.5,192.0,5.6,1483423200,13.6,1483369200,5.0,5.0,1006.0,final,77.0,1007.0,0.0,,94.0,1463,11564,9194,2267.0,18.6,1483354800,192.0,13.2,2.3
1,6113406,Prince Rupert,CA,53.97517,-130.69113,"['imerg', 'era5', 'sat', 'radar', 'snodas']",BC,712200-99999,America/Vancouver,Bay Oval,2017-01-06,94.0,2017-01-06,-0.7,15,129,35,64,573,187,2.2,1483772400,0.5,125.0,10.0,1483765200,0.7,1483743600,0.3,0.3,1002.0,final,85.0,1002.0,0.0,,10.0,351,3087,831,250.0,1.7,1483689600,125.0,14.4,6.5
2,6113406,Prince Rupert,CA,53.97517,-130.69113,"['imerg', 'era5', 'sat', 'radar', 'snodas']",BC,712200-99999,America/Vancouver,Bay Oval,2017-01-08,96.0,2017-01-08,-6.8,15,131,36,65,579,191,0.4,1483920000,0.6,76.0,7.6,1483927200,-3.0,1483862400,0.0,0.0,1002.0,final,65.0,1002.0,0.0,,18.0,357,3148,859,422.0,-1.1,1483862400,76.0,11.6,6.8
3,2143747,Whittlesea,AU,-37.498998807,145.069916424,"['948600-99999', 'ASN00086262', 'imerg', 'era5', 'sat', 'radar', 'snodas', 'au-bom-solar']",VIC,948600-99999,Australia/Melbourne,Eden Park,2017-02-17,37.0,2017-02-17,10.9,53,426,326,126,965,986,22.4,1487307600,9.2,190.0,6.6,1487325600,10.7,1487260800,0.0,0.0,948.0,final,77.0,1007.0,0.0,,305.0,1275,10230,7814,6836.6,15.9,1487250000,190.0,10.4,3.7
4,4722668,Richland Hills,US,32.8128967,-97.2047653,"['747390-13961', 'US1TXTN0070', 'US1TXTN0108', 'US1TXTN0074', 'US1TXTN0140', 'US1TXTN0062', 'US1TXTN0080', 'US1TXTN0040', 'US1TXTN0027', 'US1TXTN0122', 'US1TXTN0073', 'US1TXTN0125', 'US1TXTN0092', 'US1TXTN0046', 'US1TXTN0077', 'US1TXTN0037', 'USC00413285', 'US1TXTN0016', 'US1TXTN0043', 'US1TXTN0030', 'US1TXTN0025', 'imerg', 'era5', 'sat', 'radar', 'snodas']",TX,747390-13961,America/Chicago,The Rose Bowl,2017-06-21,0.0,2017-06-21,17.4,56,444,360,124,930,1027,34.4,1498075200,11.2,71.0,7.3,1498082400,24.4,1498042800,0.0,0.0,986.0,final,51.0,1010.0,0.0,0.0,307.0,1338,10646,8639,7372.0,29.2,1498021200,71.0,10.8,3.5
5,2656065,Beckenham,GB,51.42245,-0.02709,"['037663-99999', 'imerg', 'era5', 'sat', 'radar', 'snodas']",ENG,037663-99999,Europe/London,County Ground,2017-06-23,44.0,2017-06-23,12.4,60,481,353,119,904,910,22.0,1498226400,2.9,239.0,6.4,1498237200,13.0,1498194000,0.0,0.0,1012.0,final,73.0,1016.0,0.0,,102.0,1437,11541,8479,2449.0,17.5,1498172400,239.0,14.8,5.0
6,2653822,Cardiff,GB,51.4854374,-3.1916779,"['037150-99999', 'imerg', 'era5', 'sat', 'radar', 'snodas']",WLS,037150-99999,Europe/London,Sophia Gardens,2017-06-25,87.0,2017-06-25,13.6,60,480,352,119,902,906,18.0,1498399200,2.7,271.0,9.0,1498399200,14.0,1498363200,1.3,1.3,1012.0,final,88.0,1013.0,0.0,,113.0,1436,11526,8459,2720.0,15.5,1498345200,271.0,14.8,6.9
7,2653224,Chester-le-Street,GB,54.84897,-1.5622,"['UKE00156852', 'imerg', 'era5', 'sat', 'radar', 'snodas']",ENG,032433-99999,Europe/London,Riverside Ground,2017-09-16,69.0,2017-09-16,8.6,40,334,184,102,827,597,12.2,1505556000,2.5,243.0,7.2,1505523600,9.3,1505599200,1.0,1.0,1011.0,final,86.0,1013.0,0.0,,136.0,960,8018,4411,3268.0,10.8,1505516400,243.0,13.6,5.7
8,4388732,Green Park,US,38.528637,-90.34177,"['US1MOSL0029', 'US1MOSL0063', 'US1MOSL0062', 'USC00238791', 'US1MOSL0003', 'US1MOSL0045', 'US1MOSL0022', 'US1MOSL0054', 'US1MOSL0048', 'US1MOSL0002', 'US1MOSL0074', 'USC00234272', 'US1MOSLC007', 'US1MOSL0050', 'US1MOSL0070', 'US1MOSLC006', 'US1MOSL0004', 'US1MOSL0061', 'US1MOJF0018', 'US1MOSLC005', 'imerg', 'era5', 'sat', 'radar', 'snodas']",MO,725314-03960,America/Chicago,Green Park,2017-01-26,98.0,2017-01-26,-5.1,32,268,136,101,830,541,2.6,1485410400,1.0,282.0,6.4,1485442800,-0.4,1485493200,0.0,0.0,996.0,final,65.0,1018.0,0.0,,34.0,758,6435,3259,817.0,0.7,1485410400,282.0,13.2,5.2
9,1262180,Nagpur,IN,21.0141516,79.0396017,"['428670-99999', 'IN012141800', 'imerg', 'era5', 'sat', 'radar', 'snodas']",16,428670-99999,Asia/Kolkata,"Vidarbha Cricket Association Stadium, Jamtha",2017-01-29,10.0,2017-01-29,9.5,44,362,243,119,932,834,29.0,1485684000,7.3,164.0,2.9,1485662400,12.0,1485648000,0.0,0.0,982.0,final,51.0,1016.0,0.0,,243.0,1010,8330,5581,5581.0,21.1,1485628200,164.0,6.4,1.3
